Company_Name,Date_of_leak,Date_of_attack,Company_URL,Company_Country,Company_Address,Industry_Type,"Company_Description (Important ones, interesting ones)","Notes, and Interesting things",Data_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
Scharco Elektronik,29/7/2023,24/7/2023,www.scharco.eu,Germany," Wuppertal, North Rhine-Westphalia","Appliances, Electrical, and Electronics Manufacturing",,,"Private and personal confidential data, clients and employee documents, passports, IDs, scans, contracs, finance, tax, and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
John Mulder Heating & Air Conditioning,29/7/2023,24/7/2023,www.johnmulderheating.ca,Canada," British Columbia, Canada",Utilities,,,"Private and personal confidential data, clients and employee documents, HR, IDs, scans, contracs, finance, tax and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Centennial Management,25/7/2023,19/7/2023,www.centennialinvestments.com,United States,"  Florida, United States",Financial Services,,,"Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Sea Force IX,25/7/2023,19/7/2023,www.seaforceboats.com,United States,"  Florida, United States",Shipbuilding,,,"Private and personal confidential data, clients and employee documents, tax, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Woodbine Hospitality,25/7/2023,19/7/2023,www.woodbinehospitality.com,United States," Syracuse, New York",Hospitality,,projects,"Private and personal confidential data, clients and employee documents, tax, finance, projects, IDs, and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
ECS Technology Group,25/7/2023,19/7/2023,www.ecstechgroup.com,United States," Mansfield, TX",Information Technology & Services,,Clients Database and Documents,"Private and personal confidential data, clients and employee documents, passports, clients db, tax, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Fernmoor Homes,25/7/2023,19/7/2023,www.fernmoorhomes.com,United States," Jackson, NJ",Construction,,,"Private and personal confidential data, clients and employee documents, passports, contracs, payroll, tax, clients full info, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
Kensington Publishing,25/7/2023,19/7/2023,www.kensingtonbooks.com,United States," New York, United States",Book and Periodical Publishing,,Press releases?,"Private and personal confidential data, clients and employee documents, passports, scans, sql db, contracs, press releases, finance and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Texas Heat Treating,15/7/2023,11/7/2023,www.texasheattreating.com,United States," Round Rock, Texas",Machinery Manufacturing,,"lab, and technical documentations","Private and personal confidential data, clients and employee documents, IDs, contracts, finance, tax, lab, a lot of technical documentation and etc.",1,1,0,1,1,1,0,0,0,0,0,0,0,,,0,0
Lawer SpA,13/7/2023,7/7/2023,www.lawer.com,Italy," Piedmont, Italy",Industrial Automation,,,"Private and personal confidential data, clients and employee documents, passports, contracts, finance and etc.",1,1,0,1,0,1,0,0,0,0,0,0,0,,,0,0
