,Company,Company Description,Date Victimised,,Number of Clicks,Status,pageurl
54,tlip2.com,"Vietnam is the focus of much attention worldwide as an attractive investment destination of ""China plus one”. The hard-working young force with clever hands, the stable political environment and the good relationship with Japan are some of the featur...",10/14/2023 14:15,"31 AUG, 2023 00:57 UTC",4543,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/0Iseqp0B6xItgmCl64efe5672e2af
55,piramidal.com.br,It's great for your business. A new cycle of transformation is starting.,10/14/2023 14:15,"31 AUG, 2023 01:13 UTC",4462,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/VCiZ9ty1unGwROkp64efe902cd55a
56,antioch.edu,"Antioch University - Los Angeles is ranked #1,033 out of 2,241 schools in the nation that were analyzed for overall quality.",10/14/2023 14:15,"31 AUG, 2023 04:37 UTC",4466,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/ikSVraD6XcJqR0Se64f018cf8aa2b
57,syntech.com.sg,"syntech.com.sg We are a upper-structure specialist in the fabrication, manufacturing, design engineering of commercial heavy industry vehicles of various types of trucks.",10/14/2023 14:15,"31 AUG, 2023 08:14 UTC",4381,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/nAu35IJ2LA0AVhDO64f04bbc65f67
58,chevalerias.com,"For 98 years, the Chevalerias establishments, a family-owned and independent company, have specialized in the distribution of intelligent agricultural and landscape maintenance equipment.",10/14/2023 14:15,"31 AUG, 2023 22:37 UTC",4435,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/BCv8nsiB9FulUnSJ64f11616967a0
59,faithfamilyacademy.org,"Oak Cliff Faith Family Academy is an charter elementary/secondary school in Dallas, TX, in the Waxahachie Faith Family Academy school district. As of the 2021-2022 school year, it had 2,325 students.",10/14/2023 14:15,"01 SEP, 2023 08:35 UTC",4359,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/T9YcF5JNYxaVlAQ164f1a21ba71be
60,dasholding.ae,Das Holding - Business Information Holding Companies & Conglomerates · United Arab Emirates · 129 Employees,10/14/2023 14:16,"02 SEP, 2023 14:51 UTC",4615,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/8zpoHVV8fDdZjRue64f34bda76b59
61,sbhc.us,"Southwest Behavioral Health Center Hospitals & Physicians Clinics · Utah, United States ·",10/14/2023 14:21,"02 SEP, 2023 15:57 UTC",4436,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/qrRiE4etN3cMeOJv64f35b4f149f9
62,eljayoil.com,"Eljay Oil - Business Information Electricity, Oil & Gas · Washington, United States ·",10/14/2023 14:22,"02 SEP, 2023 16:08 UTC",4446,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/aTZXAp2fiZXIUoMN64f35df3c121c
63,scottpartners.com,"Scott + Partners Hospitality · Vermont, United States ·",10/14/2023 14:16,"02 SEP, 2023 16:20 UTC",4358,Published,http://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd.onion//post/Dtja2USHhdYb3SmP64f360c222459
