,Company URL,Company Description,Date Victimised ,Number of Clicks,Status,Company_Country,Industry_Type,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
69,carthagehospital.com,"Claxton-Hepburn Medical Center is a private, not-for-profit, 127-bed community hospital and regional referral center. Claxton-Hepburn includes 67 acute-care beds, a 10-bed intensive care unit, a 10-bed birthing center, a 28-bed acute adult mental hea...","14 SEP, 2023 13:11 UTC",6049,Published,United States,Hospitals and Health Care,,,,,,,,,,,,,,,,,
70,clearcreek.org,"There are some things that make Clear Creek who we are. We find our root in the Bible but we stay on mission in our modern world by remembering and focusing on five primary values: Gospel Centrality, Biblical Community, Missional Living, Relentless S...","13 SEP, 2023 19:06 UTC",6376,Published,United States,Financial Services,,,,,,,,,,,,,,,,,
71,sinloc.com,"Sinloc is a consulting and investment firm with operations throughout Italy. We promote development of local infrastructure, providing advisory services, feasibility studies and direct investments in Public-Private Partnerships","12 SEP, 2023 15:09 UTC",6926,Published,Italia,Investment Management,,,,,,,,,,,,,,,,,
72,deeroaks.com,"REVENUE about of 30kk Deer Oaks is a full-service behavioral health organization. It offers a comprehensive employee assistance program, geropsychology services, psychiatric medication, management services, and telemedicine services. The company w...","11 SEP, 2023 18:27 UTC",7466,Published,United States,Mental Health Care,,,,,,,,,,,,,,,,,
73,co.grant.mn.us,The City of Grant is located on the eastern fringe of the Twin Cities' urban core area within west central Washington County.,"11 SEP, 2023 08:09 UTC",7448,Published,United States,Retail Apparel and Fashion,,,,,,,,,,,,,,,,,
74,sd69.org,"In partnership with families and our community, District 69 supports every child's development within an environment of belonging.","08 SEP, 2023 19:29 UTC",9296,Published,,,,,,,,,,,,,,,,,,,
75,monaco-technologies.com,Monaco Technologies is a software and IT Company and has been providing solutions and services for Enterprises & Public Organizations since 2004.,"08 SEP, 2023 16:44 UTC",9776,Published,Monaco,IT Services and IT Consulting,,,,,,,,,,,,,,,,,
76,hanwha.com,"Hanwha continues to grow by quickly anticipating and responding to rapidly changing business environments with a balanced business portfolio that includes aerospace, energy & materials, finance and retail & services. As of 2022, we are the seventh l...","08 SEP, 2023 11:36 UTC",13472,Published,대한민국,Chemical Manufacturing,,,,,,,,,,,,,,,,,
77,gosslaw.com,VETERANS' LAWYER You Deserve Representation and Security. We Focus on Results for U.S. Veterans Worldwide.,"03 SEP, 2023 20:10 UTC",14158,Published,United States,Legal Services,,,,,,,,,,,,,,,,,
78,marianoshoes.com,"A história da Mariano Shoes remonta a 1945, o ano em que Manuel de Almeida Jorge, mestre artesão de calçado, começou a produzir sapatos para homem de alta qualidade, em S. João da Madeira. As suas criações rapidamente ficaram conhecidas em todo o paí...","03 SEP, 2023 20:37 UTC",12716,Published,Portugal,Retail Luxury Goods and Jewelry,,,,,,,,,,,,,,,,,
79,toua.net,"Provides electricity, water, communication and internet services.","07 SEP, 2023 19:52 UTC",10548,Published,,,,,,,,,,,,,,,,,,,
